agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd
USGS,415800101561201, 41N39W35CA,GW,43.48194356,-101.9334833,T,NAD83, 2936, 30,NGVD29,10140202
USGS,423003102570101, 29N 48W 9DA  1,GW,42.5007965,-102.9507443,F,NAD83, 3970.00, 10,NGVD29,10150003
USGS,423006102431801, 29N 46W 9DB  1,GW,42.5016292,-102.72214,F,NAD83,,,,10150003
USGS,423010102404101, 29N 46W11DA  1,GW,42.5027413,-102.67853,F,NAD83, 3780.00,10,NGVD29,10150003
USGS,423010102413301, 29N 46W11CB  1,GW,42.502741,-102.692974,F,NAD83, 3804.00,10,NGVD29,10150003
USGS,423010102424301, 29N 46W10CB  1,GW,42.50274058,-102.712418,F,NAD83, 3810.00,10,NGVD29,10150003
USGS,423010102430101, 29N 46W 9DA  1,GW,42.50274047,-102.7174179,F,NAD83, 3815.00,10,NGVD29,10150003
USGS,423010102430102, 29N 46W 9DA  2,GW,42.50274047,-102.7174179,F,NAD83, 3820.00, 10,NGVD29,10150003
USGS,423010102435401, 29N 46W 9CB  1,GW,42.50274015,-102.7321397,F,NAD83, 3830.00,10,NGVD29,10150003
USGS,423010102435402, 29N 46W 9CB  2,GW,42.50274015,-102.7321397,F,NAD83, 3829.00,.1,NGVD29,10150003
USGS,423010102441101, 29N 46W 8DA  1,GW,42.50274005,-102.7368618,F,NAD83, 3829.00,.1,NGVD29,10150003
USGS,423010102441102, 29N 46W 8DA  2,GW,42.50274005,-102.7368618,F,NAD83, 3830.00,10,NGVD29,10150003
USGS,423010102441103, 29N 46W 8DA  3,GW,42.50274005,-102.7368618,F,NAD83, 3835.00, 10,NGVD29,10150003
USGS,423012102361601, 29N 45W 9DB  1,GW,42.5032985,-102.6049206,F,NAD83, 3740.00,10,NGVD29,10150003
USGS,423012102372701, 29N 45W 8DB  1,GW,42.50329808,-102.6246424,F,NAD83, 3740.00,10,NGVD29,10150003
USGS,423012102382001, 29N 45W 7DA  1,GW,42.50329776,-102.6393642,F,NAD83,,,,10150003
USGS,423012102382002, 29N 45W 7DA  2,GW,42.50329776,-102.6393642,F,NAD83,,,,10150003
USGS,423023102415101, 29N 46W10AD  1,GW,42.50635219,-102.6979736,F,NAD83, 3802.00,10,NGVD29,10150003
USGS,423023102424301, 29N 46W10BC  1,GW,42.50635188,-102.7124176,F,NAD83, 3816.00,10,NGVD29,10150003
USGS,423023102430101, 29N 46W 9AD  1,GW,42.50635177,-102.7174175,F,NAD83, 3823.00, 10,NGVD29,10150003
USGS,423025102352201, 29N 45W10BD  1,GW,42.50691017,-102.5899206,F,NAD83, 3737.00, 10,NGVD29,10150003
USGS,423025102355801, 29N 45W 9AD  1,GW,42.50690995,-102.5999204,F,NAD83, 3740.00, 10,NGVD29,10150003
USGS,423025102355802, 29N 45W 9AD  2,GW,42.50690995,-102.5999204,F,NAD83, 3745.00,1.,NGVD29,10150003
USGS,423025102361601, 29N 45W 9AC  1,GW,42.5069098,-102.6049203,F,NAD83, 3735.00,5.,NGVD29,10150003
USGS,423028102253701, 29N 44W12AC  1,GW,42.50775295,-102.4274196,F,NAD83, 3830.00,10,NGVD29,10150003
USGS,423028102313201, 29N 44W 7AC  1,GW,42.50774497,-102.5260332,F,NAD83, 3922.00,10,NGVD29,10150003
USGS,423029102233301, 29N 43W 8BD  1,GW,42.5080342,-102.3929737,F,NAD83, 3650.00,20,NGVD29,10150003
USGS,423032102435401, 29N 46W 9BB  1,GW,42.50885156,-102.7321391,F,NAD83, 3835.00, 10,NGVD29,10150003
USGS,423032102435402, 29N 46W 9BB  2,GW,42.50885156,-102.7321391,F,NAD83,,,,10150003
USGS,423034102415001, 29N 46W10AA  1  MIRAGE FLATS,GW,42.5094079,-102.6976955,S,NAD83, 3794.00, 10,NGVD29,10150003
USGS,423034102415002, 29N 46W10AA  2,GW,42.5094079,-102.6976955,F,NAD83,,,,10150003
USGS,423034102500301, 29N 47W 9AA  1,GW,42.50940725,-102.8346362,F,NAD83, 3901.00, 10,NGVD29,10150003
USGS,423036102384701, 29N 45W 7BA  1,GW,42.5099646,-102.6468634,F,NAD83,,,,10150003
USGS,423036102400601, 29N 46W12BA  1,GW,42.50996415,-102.6688073,F,NAD83, 3820.00,10,NGVD29,10150003
USGS,423036102400602, 29N 46W12BA  2,GW,42.50996415,-102.6688073,F,NAD83, 3820.00,10,NGVD29,10150003
USGS,423036102413301, 29N 46W11BB  1,GW,42.5099636,-102.6929733,F,NAD83, 3798.00,10,NGVD29,10150003
USGS,423036102420801, 29N 46W10AB  1,GW,42.50996339,-102.7026953,F,NAD83, 3802.00,10,NGVD29,10150003
USGS,423036102422601, 29N 46W10BA  1,GW,42.50996328,-102.7076952,F,NAD83, 3808.00,10,NGVD29,10150003
USGS,423036102430101, 29N 46W 9AA  1,GW,42.50996306,-102.7174172,F,NAD83, 3818.00,10,NGVD29,10150003
USGS,423036102431901, 29N 46W 9AB  1,GW,42.50996295,-102.722417,F,NAD83, 3830.00,10,NGVD29,10150003
USGS,423038102352201, 29N 45W10BA  1,GW,42.5105215,-102.5899203,F,NAD83, 3732.00,10,NGVD29,10150003
USGS,423038102352202, 29N 45W10BA  2,GW,42.5105215,-102.5899203,F,NAD83, 3732.00,10,NGVD29,10150003
USGS,423038102352203, 29N 45W10BA  3,GW,42.5105215,-102.5899203,F,NAD83, 3732.00,10,NGVD29,10150003
USGS,423038102354001, 29N 45W10BB  1,GW,42.51052139,-102.5949201,F,NAD83, 3734.00,10,NGVD29,10150003
USGS,423038102365101, 29N 45W 9BB  1,GW,42.51052095,-102.6146419,F,NAD83, 3756.00, 10,NGVD29,10150003
USGS,423038102365102, 29N 45W 9BB  2,GW,42.51052095,-102.6146419,F,NAD83, 3757.00, 10,NGVD29,10150003
USGS,423038102365103, 29N 45W 9BB  3,GW,42.51052095,-102.6146419,F,NAD83, 3747.00,10,NGVD29,10150003
USGS,423038102391301, 29N 45W 7BB  1,GW,42.51052006,-102.6540853,F,NAD83, 3788.00,5.,NGVD29,10150003
USGS,423038102391302, 29N 45W 7BB  2,GW,42.51052006,-102.6540853,F,NAD83, 3780.00,5.,NGVD29,10150003
USGS,423038102391303, 29N 45W 7BB  3,GW,42.51052006,-102.6540853,F,NAD83,,,,10150003
USGS,423040102292701, 29N 44W 9BA  1,GW,42.51108,-102.4913109,F,NAD83, 3850.00,10,NGVD29,10150003
